link,writer,view,text,YMD,time,comment
https://band.us/band/86294308/post/167,민경운,56,따사로운 햇볕 덕분에 실내에서 동백이 꽃피우기 성공했습니다 ^^,2022년 11월 1일,오후 8:20,"['초예 : .어느시각에 얼마만큼 얼마동안 뿌려줬나요?저는 모든화초 골고루 뿌려줬더니 두번 뿌려줬는데 한병 다 썼어요 ㅎ', '민경운 : @초예 아침 시간에 한번씩 뿌렸습니다. 일주일에 한번. 많으면 두번 정도로 뿌렸어요. 한통 금방 씁니다 ㅠㅜ쿠폰같은걸로 몇개 사면 하나 더 주는 행사같은거 했으면 좋겠네요', '초예 : @민경운 그렇게 하셨군요! 참고해서 잘 뿌려봐야겠어요. 감사합니다 ^^', '꽃피우는시간 : @민경운 식물병원 멤버 500명이 되면 리필형 이벤트 한 번 준비해볼게요', '반려식물을 좋아는 뇨자 : 넘 예쁨니다~', '김민영 : 와~ 넘 예뻐요^^ 벌써 꽃이 피는건가요? 저도 더 열심히 따사로운 햇볕 뿌려줘야겠어요~', '꽃피우는시간 : 축하드려요~~~!!! 너무 기분이 좋네요 ㅎㅎ', '기쁨찾기 : 저는 딱 한 번 뿌렸을 뿐인데 1리터 2병을 거의 다 셨답니다😅😅😅', '진 : 우와~~~드디어 꽃이 방긋 웃어주네요...넘예뻐요...맞아요...따사로운햇빛 넘 금방써요ㅠㅠ']"
https://band.us/band/86294308/post/168,임나은,56,"컬러 녹비단입니다.너무 예뻐서 사긴했는데 쉽지가 않네요...ㅠㅠ거실 창틀에 놨구요.오전에 창을 통과한 햇빛이 점심 쯔음까지 비치고 물은 잎에 윤기가 사라지고 힘이 없을때 뜸뿍 주고있습니다.물을 주고나면 창문을 열어서 흙이 빨리 마를수 있도록 하거나 선풍기를 틀어 거리를 좀 두고 말려주거나 합니다.저희집은 아직 많이 춥지 않아 밤에서 새벽, 아침사이 온도는 창을 열어뒀을때 18~19정도 창을 닫았을땐 20~21도 정도 되고 낮에 창을 열었을때 20~21도 정도. 낮에 창을 닫을때는 추울때라 그땐 보일러를 켜서 약 23도까지 올리기도 합니다. 내일부턴 기온이 떨어진다니 밤낮없이 창을 닫고 서큘을 돌려야 할꺼같긴 하지만 지금은 열어두고 살아요환경은 이렇고...위 양쪽 아이들은 그래도 괜찮아 보이는데 앞에 아이가 자꾸 변해갑니다...ㅠㅠ",2022년 11월 2일,오전 8:17,"['진 : 진짜 이쁜 아이네요..잘 컸음좋겠네요~~~^^', '임나은 : @진 저도 잘컸음 좋겠어요 ㅎㅎ 구하기도 쉽지않은데... 저리 상태가 나빠지니...속상...', ""꽃피우는시간 : 정말 엄청 예쁜 아이네요~ 온도 관리도 잘 해주고 계시구요, 물 주기도 괜찮을 것 같으나, 위에 흰 돌들은 걷어내 주는 게 좋아요.(화원에서는 예뻐 보여야 잘 팔리니까 덮어뒀겠지요~?)자갈로 덮여있으면 흙에 산소 공급도 막히고 수분이 증발하는 것도 막히지요. 여러 모로 안좋아요.화원에서는 '상품화'를 하기 위해 여러가지 농약들을 쓰고, 식물에 거의 완벽한 환경 조성을 해주기 때문에 집에 데려온 후 어느 정도 상태가 나빠지는 것은 피할 수 없는 부분이긴 해요.햇빛이 창문을 통과할 때, 많은 양이 흡수되기 때문에 창가에서 키운다고 해서 충분한 햇빛 공급이 된다고 보기는 어렵지요.(특히 코팅된 창문이나 이중창의 경우)물 주실 때 다육이용으로 주시구요~ 공중분무는 일반용 뿌려주시면 돼요.온도 낮아지고 있어, 다육이들이 힘들어할 시기가 다가오고 있네요. 지금처럼 온도 관리에 신경 잘 써주시면 좋을 것 같아요.""]"
https://band.us/band/86294308/post/169,2ha2,62,스킨답서스 아르지리우스의 잎상태는 왜 어렇게 되는지 알려주실수있나요? ㅠㅠ 감사합니다!,2022년 11월 2일,오후 4:54,"['꽃피우는시간 : 잎이 돌돌 말리고 있네요~ 잎 말림은 복합적인 원인으로 생기기 때문에, 키우고 계신 환경 점검이 필요할 것 같아요.물 주기는 어떻게 주고 계신가요~? 키우고 계신 장소는 어디인가요~?(햇빛을 얼마나 받는지)']"
https://band.us/band/86294308/post/170,덕겸선생,71,안녕하세요. 제가 키우는 산세베리아가 이렇게 되고 있어요. 여러가지 노력을 하고 있지만 잘안되네요.,2022년 11월 3일,오후 5:52,"['꽃피우는시간 : 안녕하세요~ 일부가 노랗게 마르고 있네요~ 복합적인 원인으로 마르는 것이기 때문에, 몇 가지 체크하면 좋을 것 같아요.1. 물 주기는 어떻게 주고 계신가요?2. 기르고 계신 장소는 어디인가요? (통풍, 햇빛)3. 데려오신 지 얼마나 되었나요? 분갈이 해준 지 얼마나 되셨나요?4. 영양제(비료 등)는 어떻게 주고 계신가요?', '덕겸선생 : @꽃피우는시간  안녕하세요. 답변드릴께요.1. 자주 물주면 안좋다고 들어서, 한달에 1번 주고 있었는데, 잎이 건조해서 노랗게 시든다고 생각해서 보름에 1번 주기도 했어요.2.사무실 창가인데, 해가 잘 안들어요. 통풍은 그럭저럭 괜찮다고 생각됩니다.3. 데려온지 2년되었고, 분갈이는 한번도 안했어요.4. 영양제는 가끔 주기는 했어요 (꽂아놓는 노란색액체). 이번주부터 꽃피는시간 영양제를 주기 시작했어요.', '꽃피우는시간 : @덕겸선생 1. 우선 물 주기가 긴 것 같아요. 겉 흙(화분 크기가 크니, 흙 표면에서 2.5cm 아래 지점을 기준으로 잡는 게 좋을 것 같아요.)이 건조해질 때마다 물을 콸콸 줘야 해요. 이 때 주는 물 양은 흙 전체(아래 지점까지)에 있는 물을 모두 새로운 물로 교체해주는 느낌으로 콸콸(10L 넘어도 돼요) 화분 받침으로 물이 계속해서 새어 나오도록(화분 받침에 고인 물은 계속해서 비워주면서)주세요.물 주는 양은 상한선이 없어요. 신선한 물로 채워주면 과습은 오지 않아요.특히 화분이 큰 경우, 물을 조금 주게 되면 흙에 물 통로가 생겨, 뿌리 전체에 물을 공급하기 어려워요. 이를 극복하는 방법이 물을 많이 주는 것이지요.2. 해가 잘 안드는 경우, 따사로운햇볕을 잎에 뿌려주는 것으로 극복할 수 있어요. 광합성으로 만들어내는 에너지를 잎에 직접 공급하는 것이지요. 추가적으로 소량의 햇빛으로도 광합성 효율을 높여, 더 많은 에너지를 만들어낼 수 있게 해줘요.3. 2년 된 흙은 내부에 영양소가 고갈되었을 가능성이 커요. 분갈이가 필요해요. 화분 크기가 커 배수성이 중요해요. 따라서 산야초 5 상토 5 비율로 분갈이를 해주세요.4. 노란색 꼽아주는 영양제는 아무런 효과가 없어요. 분갈이를 해주시면 새 흙에 영양분이 충분히 있으니, 따로 줄 필요 없어요. 그냥 일주일에 2~3회 잎에 따사로운햇볕 뿌려주세요.추가적으로, 분갈이 이후 관솔목초액(현재 와디즈를 통한 예약만 받고 있어요.)을 희석해 뿌려주면 잔뿌리가 제대로 발달하면서 확실하게 회복할 수 있어요.분갈이가 반드시 필요하니, 꼭 해주실 수 있길 바라요!', '덕겸선생 : 안녕하세요. 상세한 답변 감사합니다^^ 혹시 물주기는 어느정도로 해야할까요. 누렇게 변새되는거가 수분부족인건가요. 과습인줄 생각하고 있었어요.', '꽃피우는시간 : @덕겸선생 분갈이 할 때 뿌리를 확인해주세요~ 썩은 부분이 보이면, 잘라내 주세요. 말라버린 잎들은 모두 뽑아내 주시구요~뿌리가 안 좋아도, 물이 부족해도 똑같이 저렇게 마를 수 있지요~물 주기는 나무젓가락 같은 것으로 흙을 2~3cm정도 파보신 후 2~3cm 아랫부분이 건조해졌을 때 콸콸 주시면 돼요.', '덕겸선생 : 네 상세한 답변 감사합니다^^']"
https://band.us/band/86294308/post/171,서준.상현.도연맘,44,안녕하세요.오랜만에 글쓰는거 같아요~~저희아이들이 상추씨앗을 마구마구뿌렸는데 잘자라고있습니다.베란다에서 크고있는데 거실로옮겨야될까요? 씨앗으로 먹을수있게 클수는없겠져?모종으로보다가 씨앗이 크는거보니 힘이 많이 없어보이더라구요.,2022년 11월 3일,오후 8:17,"['꽃피우는시간 : 오랜만이에요~ 서준 상현 도연맘님! 너무 반갑네요 ㅎㅎ 강아지가 아직까진 화분을 공격하지 않았나 보네요? ㅎㅎ 귀여운 강아지 사진 올려주셔도 너무 좋을 것 같아요~기온이 많이 떨어져서, 지금보다 조금 더 기온이 떨어지면 실내로 옮겨주는 게 좋아요. 실내로 옮기면 햇빛이 더 부족해지니 따사로운햇볕 주2~3회 잎에 뿌려주는 것 잊지 마시구요!(원래 먹는 작물에 뿌리는 용도로 개발 된 친환경 영양제니, 안심하셔도 돼요. 심지어 저희는 따사로운햇볕을 직접 마셔보기도 하지요.)지금처럼 잘 크고 있는 경우, 먹을 수 있을 만큼 키울 수 있어요. 다만 너무 빽빽하게 자라고 있기 때문에, 20%정도는 솎아 주는 게 좋아 보여요.한 화분에서 너무 많은 식물이 크는 경우, 뿌리들끼리 서로 많은 영양분 차지하려고 경쟁하고, 잎들 끼리는 서로 많은 햇빛 차지하려고 경쟁해 결과적으로 모두 함께 덜 건강하게 자라게 돼요.아이들이 계속 식물 기르는 데에 관심을 보이는지요? 아이들 책임감 길러주는 데에 정말 좋은 방법인 것 같아요. 진심으로 응원하고 있어요 서준 상현 도연맘님 ㅎㅎ']"
https://band.us/band/86294308/post/172,염기태,53,테이블야자로 알고있는데 여름에는 싱싱 하던 놈이 및 둥이 까맣게 변하면서 시들해지고 잎들도 검은 점이 많이 생기면서 맥을 못추네요.무슨 연유인지 알려주시면 고맙겠습니다.,2022년 11월 4일,오후 1:52,"['기쁨찾기 : 햇빛을 여름에는 많이 받았는데 실내로 들어오면서 광합성 작용이 잘 안되어 빛을 잃어거는 경우가 많습니다~~햇빛을 많이 볼 수 있도록 해주세요~', '꽃피우는시간 : @기쁨찾기 맞아요~ 햇빛 잘 주는 게 가장 중요한데, 요즘 실내로 들여오면서 햇빛 못 받아 아픈 경우가 굉장히 많지요', '꽃피우는시간 : 물 주기는 어떻게 주고 계세요~? 데려오신 지 얼마나 되셨는지~ 분갈이는 언제 해주셨나요?', '염기태 : 2년 반 전에 데려오면서 바로 분갈이 해 주었고. 물 주기는 10일 내지 15일 사이로 나무 젓가락으로 15센티 이상 찔러보고 말랐을 때 줍니다.올 여름까지도 잘 자라던  애가 가을로 접어 들면서 갑자기 맥을 못추네요.특히 및 둥이 검게 그을른 것같이 변 한게 무슨 병이 아닌가 염려 됩니다.']"
https://band.us/band/86294308/post/173,서효숙,74,"몬스테라 수형잡기가 너무 어려워요..한쪽만 풍성하고 다른 쪽은 휑~~한데요,풍성한 쪽 가지를 좀 쳐야할까요?휑한쪽을 풍성하게 하려면 너무 당겨와야해서..부러질까봐 당기질 못하겠어요..몬스테라 수형잡기 쉽게 설명해주실 분 계실까요?^^초보인데 큰 화분을 사서..어렵네요.",2022년 11월 5일,오후 7:46,"['이에이짝짝짝 : 코코봉을  꽂아서  고정시키시는거 어떨까요?', '기쁨찾기 : 코코봉 기둥을 세워 수형을 잡으면 훨씬 수월하게 수형을 잘 잡을 수 있습니다~', '서효숙 : 답변, 고맙습니다~~그런데 굵은 기둥이 이렇게 많아서..어디에 코코봉을 꽂아야할지 모르겠어요^^;;;', '꽃피우는시간 : 아주 풍성하니 예쁜 아이네요 ㅎㅎ 가지치기를 해주어도 좋아요~ 몬스테라 특성 상 옆으로 마구 퍼지며 크는 것은 어찌보면 당연한 것이지요~ 너무 빽빽한 부분 가지들은 잘라내 주고, 봉으로 수형 잡아 주면서 키워주시면 좋아요.']"
https://band.us/band/86294308/post/174,김보배,53,"사무실에서 키우던 이 아이가 시들시들 했었는데,식물 영양제 스프레이 자주 해줬더니 건강해졌습니다!광도 예쁘게 나구요.근데 주말 지나고 갑자기 화분 배수가 안되는데 왜그럴까요 ㅠㅠ 시간이 지나도 계속 물이 차있고, 한방울도 내려오지 않습니다 .. 어떻게 하면 좋을까요?",2022년 11월 7일,오후 1:11,"['이에이짝짝짝 : 엎어서 뿌리확인해봐야겠네요', '김보배 : @이에이짝짝짝 돌이랑 흙을 헤집어도 물이 안빠지더라구요.. 결국 엎어야 하는건가요 ㅜㅜ 흑..  도대체 갑자기 왜그런걸까요 ?', '이에이짝짝짝 : @김보배  흙이 떡져있을수도 있어요 배수좋은 흙으로 바꿔주심이', '김보배 : 자세한 답변 감사합니다!ㅎㅎ 좋은 하루 되세요^^', '꽃피우는시간 : 물을 주면 줄수록 입자가 미세한 흙이 점점 아래로 내려가게 되어 있어요.아랫부분이 진흙으로 떡지게 되어 물이 더이상 안빠져나가게 되는 것이지요. 배수가 안되는 흙은 최대한 빨리 새 흙으로 갈아주어야 해요! 분갈이 해주셔야 해요', '김보배 : @꽃피우는시간  감사합니다! 제가 뭘 또 잘 못 했는 줄 알았어요 ㅠㅠ']"
https://band.us/band/86294308/post/175,류지은,60,안녕하세요! 가입인사겸이런 식물병원 소통할곳이 생겨 넘 좋아서마침 마음아프게 하는 호야 서펜스이상 증상을 올려봅니다ㅜㅜ가지가 마르고 잎이 안나고급기야 두두둑 떨어집니다잎자체는 멀쫑한데 줄기가 말라가요ㅜㅜ 집은 남향에 창문 열린곳 앞에서 키우고 잇어요,2022년 11월 7일,오후 2:53,"['이에이짝짝짝 : 창문 열어놓음 춥지않을까요?전 물분무해주고 서큘 돌려주거든요', '꽃피우는시간 : @이에이짝짝짝 맞아요~! 호야는 잎이 통통하니 수분이 많아서, 잎이 얇은 식물들에 비해 추위에 약해요. 적정 온도가 18~25도지요. 지금 날씨는 호야에게 추운 온도에요~', '꽃피우는시간 : 이에이짝짝짝님처럼 창문은 닫아주셔서 온도를 높여주시구요, 물주기는 어떻게 주시나요~? 흙 배합은 어떻게 해주셨는지 기억 나세요? 분갈이는 언제 해주셨나요~~?', '류지은 : @꽃피우는시간 배합된 걸 사서 썻어요~ 아마 한아름 상토에 산야초 같은거랑 지렁이흙 펄라에트 등등 썩였던거 같은데, 저 화분째로 구매한지 1년도 안됐어용 ~~ 물주기는 좀 말랏다 싶으면 줘요~~', '꽃피우는시간 : @류지은 흙 배합은 괜찮네요~ 온도가 너무 낮으면 줄기가 마를 수 있어요. 온도만 좀 높여주시고, 물 줄 때 많은 양 주시는 것 잊지 마시구요~']"
https://band.us/band/86294308/post/176,채선경,87,안녕하세요~거실에서쑥쑥 문제없이 잘자라던 녀석이 왜이러지요?입이 쳐지고 잎에 누런 얼룩이 있어요 노란약도 먹이고 꽃피는영양제도 뿌려주고 …제가 어떻게해야할까요~?지금은 남향베란다에 내놓았어요 ㅠㅠ,2022년 11월 8일,오후 12:14,"['이에이짝짝짝 : 맨마지막사진에 잎에 벌레같은게 보이는데요?총채유충같기도 하고...방제하셔야될거같습니다', '채선경 : @이에이짝짝짝 아~고맙습니다벌레는 생각도못했어요 ㅠㅠ', '꽃피우는시간 : @이에이짝짝짝 얘네들 말씀하시는거죠? 매의 눈을 가지셨네요 ㅎㅎ벌레인지 한 번 확인해주시고, 맞다면 총채벌레 잡는 약 쳐줘야해요~ 다른 식물들에게도 옮겨붙을 수 있으니 다른 식물들도 유심히 봐주세요', '채선경 : @꽃피우는시간 바로 시행해보겠습니다!!  밴드가 정말 도움이되네요~👍']"
