,user_name,rating,date,content
0,홍정범,4,2022년 10월 18일,배송이 완전 빠르고 가격도 저렴하고 카드결제는 등록해 놓을 수가 있어서 참 편리합니다^^ 그리고 쿠팡맨들은 보다 항상 신속한 빠른배송에 진심으로 정말 감사드리며 그 동안 최선을 다해 열심히 정보를 활용해가면서 반드시 이용하겠습니다~~!! 그런데 하지만 문제는 로켓배송은 원래 19800이상을 넘겨야 하는 것 때문에 매월 돈 주는 것으로 오직 '로켓와우'에만 신청할 수는 밖에 없습니다....... 그래도 일단은 아주 만족해요~~!!^^
1,좋아좋아,2,2022년 10월 5일,"쿠팡에서만 오배송 2건을 겪었습니다. 1건은 내 실수인가 하고 찜찜하게 넘겼으나 2번째건은 너무 정황상 이상해서 문의 했는데, 옵션 두가지중 1개 선택후 2번째 선택시 1번이 자동으로 변경된다고 하네요 참 시스템을 이상하게 만들어 놓으셨네요.. 반품비 무료로 처리해주셔서 원만히 해결됐지만 다시 사용은 안할것같아요. 사전안내 없이 이런일 두번 겪으니 신뢰가 안되네요."
2,티프몽,1,2022년 10월 12일,"좋은지 안좋은지는 모르겠지만, 인터넷 창에서 구매자들의 리뷰를 읽기 위해선 선택사항 없이 무조건 앱을 깔아야만 볼수있게 해놓은게 상당히 불만스러운 요소입니다. 그냥 인터넷에서도 볼수있는 선택지도 있어야지 이건 뭐.. 이거때문에 짜증나서 별점 1점 드립니다."
3,TRACY HER,1,2022년 10월 13일,"10월7일 업데이트 후, 로켓배송-와우만 보기를 선택해도 새벽도착이 아닌 일반 로켓배송과 제트배송이 그대로 뜹니다. 제품 클릭할때 일일히 로켓와우인지 일반 로켓배송인지 두번 확인을 해야해서 검색효율이 떨어집니다... 업데이트를 매번 이렇게 하실바엔 그냥 전전전전전 버젼으로 돌려놓으시는게 나을것 같네요 ㅎㅎㅎ"
4,배이하,1,2022년 10월 1일,낚시 광고 적당히하세요. 짜증나서 쿠팡앱 삭제하겠습니다. 네이버에서 상품을 보고 클릭하면 해당 앱이 켜지고 뒤로가기 버튼을 누르면 다시 쿠팡앱이 새로운 상품으로 켜지고를 반복합니다. 쿠팡앱을 끄려면 결국 네이버 앱도 종료를 해야 하구요. 그럼 제가 봤던 상품은 또 다시 찾아서 클릭해야 합니다. 정말 뭐같네요
5,如月華,1,2022년 5월 27일,"폰 자체 네트워크 연결상태는 좋은 상황인데 쿠팡 앱만 응답이 계속 없네요. (메세지 상 요청 실패) 이 증상은 LTE 환경이 WiFi 상에서보다 훨씬 빈도가 높고요, 동시에 모바일 웹에서는 전혀 문제가 없습니다. 일단 앱 캐시 지우고 재시도... 똑같음, 실패 앱 데이터까지 싹 지우고 또 재시도... 또 실패 앱 삭제 후 스토어에서 재설치. 그래서 이제 로그인도 안돼요... 도대체 무슨 문제일까요?"
6,이보미,1,2022년 5월 30일,"쿠팡 너무 잘 쓰고 있습니다. 그런데 홈 화면에서 특정 물품 터치했다가 뒤로가기 눌렀을 때 기존에 있던 상품들이 자동으로 죄다 바뀌어서, 바뀌기 전 눈여겨보았던 아이템을 확인 못 하고 자꾸 놓치게 되는게 너무 열받습니다. 새로운 상품을 자꾸 노출해야 하는 입장은 이해 가지만, 기존에 노출된 상품들을 완전히 바꾸는 게 아니라 스크롤 좀 돌리면 확인은 할 수 있게 뒤로 미는 걸로 하면 안 될까요? 참고 쓰다가 방금 엄청 맘에 드는 냉장고형 서랍인지 뭔지 확인하려 했는데 다른 걸 잘못 터치하는 바람에 다시 확인해 보려니 온데간데 없고 검색해도 안 나와, 화딱지 나고 더 못 참겠어서 건의드립니다."
7,김맹,1,2022년 10월 18일,쿠팡 오래썼습니다. 뭐 거의 국내독점이고 대체가 없으니 상품들 구매 할때 하자좀 있는거 있어도 뭐 이래저래 이해하고 넘어갔어요.근데 요즘들어 진짜 하자있는것들만 보내네요.몇년 쓸동안 단 한번도 반품 해본적없는데 최근 2번 연속 했어요. 하... 돈만주면 아무업체나 다 받는건가요? 실망이 큽니다. 진지하게 이번달만 와우 유지하고 끊을까 생각중입니다.
8,Yu Mison,5,2022년 4월 22일,갤럭시폴드사용자인데 자동화면분할이 쇼핑을 거부하게 만들고 있습니다. 내가원하는 장면이 분할되어작게나와 반쪽의 쓸데없는 장면때문에 쇼핑을 하다맙니다.앱개발자 머리가 아주나쁜거같습니다. 어플보다보면 이런선택도없는 자동분할어플은 쿠팡이 최고로 최악입니다. 최악이 최고라 별이 다섯개☆☆☆☆☆
9,Joey Joy,3,2022년 1월 27일,"폴드사용시 화면분할이 자동으로 되는데, 너무 불편합니다. 오하려 화면분할이 없는게 나을거 같은데 선택할수도 없고 화면분할로 쓰더라도 최적화가 너무 안되있어서 불편합니다. 개선해주시거나 그냥 단일화면 선택가능하게 부탁드립니다. 세로모드나 가로모드나 똑같이 최적화가..."
