,user_name,rating,date,content
0,Han Jinsu,5,2022년 9월 6일,"정말 잘 사용하고 있습니다. 특히 키워드 알림을 너무 잘 사용하고 있는데요. 특정 단어들은 동작하지 않아서 글을 남깁니다. 스퀘어가든,전천당을 구할려고 검색을 하면 나오나 키워드 알림 등록으로 하면 알림이 안옵니다. 물론 갤럭시 모빌 유모차등 다른 단어들은 잘옵니다. 자동으로 필터링되는건지 이 부분만 불편하네요"
1,조태희,3,2022년 9월 29일,"소리모드인 경우에만 당근알림 정상 작동. 진동모드에서 당근진동알림 작동안됨. 블루투스 이어폰으로 교보문고 앱 TTS 읽어주기 기능 이용시 당근알림 안됨. 확인부탁합니다. 당근앱 알림/진동허용. 앱 절전모드 진입해제, 재로그인 등 당근 알림 안됨 조치 방법 모두 시도했으나 동일. 예전버전에서는 블루투스 TTS기능 사용중에도 당근알림이 잘 왔으나 몇 개월 전부터 작동안됨. 휴대폰 살정은 그대로이나 당근 업데이트 후 작동 안되는 것으로 보임."
2,이민현,4,2022년 9월 10일,잘 쓰고 있습니다 사용하면서 불편한 점이 있었는데 개선될 수 있으면 좋겠습니다! (1) 근처 동네 4개가 아니라 저희 동 1개만 볼 수 있었으면 좋겠어요. 옆 동네까지 가려면 버스 타고 30분이 걸립니다. 판매자 정보에 xx x동이 아니라 xx동이라고만 뜨면 거래가 꺼려지네요 (2) 관심목록 폴더 기능이 생겼으면 좋겠어요. 관심목록이 많아지니까 보기 너무너무너무 불편해요. 관심 누른 목록 최근순/최신 끌올된 순으로 볼 수 있는 정도로라도요
3,유붕동,3,2022년 10월 16일,갑자기 어제부턴가 홈 화면에서 물품 리스트가 시간순이 아닌 뒤죽박죽 랜덤으로 정렬됩니다. 몇 번 새로고침을 해도 시간은 몇 초전부터 몇일전까지 완전 뒤죽박죽이고 특정 물품이 계속 최상단에 고정되기도 해요 이미 거래완료 된 물품도 리스트에 섞여나오니 보기가 불편합니다 다른 사람 폰에서도 그러네요
4,정서연,4,2022년 10월 18일,다 좋은데 기능을 추가하거나 보완했으면 좋겠습니다 몇몇 글은 정확히 단어를 썼는데 검색이 안됩니다 판매글 올릴때 최신순으로 정렬해도 제 글이 검색 결과에 안 떠요... 티/티셔츠도 별 차이가 없는 것 같지만 결과가 다르게 나와요 그리고 임시글 저장이 자꾸 날라갑니다 ㅠㅠ 다 쓰고 임시저장까지 했는데 1분만에 지워지네요 단순오류라기엔 몇번씩 겪으니까 좀 귀찮습니다 임시글 예약기능이 있으면 좋겠어요... 나머지는 만족스러워요 감사합니다
5,lala la,3,2022년 10월 12일,"저 진짜 당근 너무 재밌는데 하면 할수록 느끼는 점은, 구매자 고객이 아닌 판매자 입장에서만 너무 운영되고 있다는 것입니다. 어느정도 둘이 수평을 이뤄야함에도요. 일단, 구매자는 마음에 드는 물품을 위해 시간을 들여 판매자가 있는 곳이 좀 멀더라도 찾아갑니다. 그런데 막상 실물을 보면 아무래도 새상품이 아니어서 실망할 때가 좀 많습니다. 사진 상에서는 좋아보였어도요. 그때, 시간을 들여갔음에도 가격은 중고인 것치고는 높은데 비용을 지불했음에도 감사합니다 한번을 받은 적이 없네요. 엄연히 고객 아닌가요? 솔직히 어차피 버릴 물건인데 알뜰매장에서는 버릴 물건 파는거니까 다 몇천원대였습니다. 근데 당근은 이걸로 장사를 하려는 속이 보이는 판매자들이 너무 많네요 ㅠ 환경과 나눔이라는 선한 목적이 흐려지는 것 같습니다. 어차피 버릴거 사주는건데 비용도 전반적으로 높은 편이고 찾으러가는 것도 구매자니 비용, 거리와 시간 두가지 다 판매자 위주입니다."
6,헷까꿍,4,2022년 10월 16일,요새 애용하는 앱인데요. 사용하지 않은 물건을 팔아서 소소하게 용돈으로 잘 쓰고 있습니다.그리고 앱 내에서 옷과 관련하여 많은 거래가 이루어지고 있는데요. 근데 이러한 물품거래량과는 다르게 거래하는 것이 조금 불편합니다. 옷을 거래할때 마음에 드는 물건이 있을 때 옷의 사이즈를 기제를 안해주셔서 불가피하게 채팅을 해드리고 구매까지 이어지지 못하는 경우가 흔한것 같습니다. 저도 얼마 전에도 이러한 상황을 겪었습니다. 그래서 의류에 대한 카테고리를 선택하였을때 의류의 사이즈나 상태를 따로 표시할 수 있게 하면 어떨까요? 만약에 따로 표시하게 된다면 검색시에도 자신의 사이즈의 물품을 바로 확인할수 있을 것이고 이미 있는 검색범위설정 기능을 활용하여 자신의 사이즈 옷의 물건만 찾을 수있을것 같다고 생각합니다. 긴글 읽어주셔서 감사합니다.
7,재희,4,2022년 10월 11일,"당근마켓을 이용할 때, 채팅에 주소나 개인정보를 보내고 나서 찝찝하다고 가끔 느낄 때가 있어요. 그럴때 삭제 버튼이 있었으면 좋겠어요. 알고보니 삭제기능이 있기는 하더라고요.. 5분이내이면 삭제가 가능한데 그 이후는 고객센터를 이용해야 한다고...근데 저도 사용한지 몇년 지난 후 처음으로 고객센터에 문의글 남기고 나서 알았습니다;; 그리고 당근알람이 핸드폰은 소리인데 블루투스 이어폰을 연결해놓으면 울리질 않네요.. 그거 외에는 유용하게 쓰고 있습니다."
8,mm tta,4,2022년 10월 7일,기기바꾸고 당근 보는데 화면 밑으로 내리면 새로고침 되면서 막 올린 것들이 바로바로 떠야하는데 한참전에 본게 계속 올라오고 그러네요. 1초전 10초전 방금 올린게 새로고침하면 떠야하는데 그렇게 안떠요. 아까봤던것들만 계속 새로고침하면 위로 보이고 그런데 뭐가 문제인가요?
9,SUN 0420,4,2022년 10월 18일,키워드 알림을 이용해서 원하는 물건 싸게 겟하려고 하는데 일부 물건은 이게 너무 자주 울리거든요. 제가 고려하는 예산 안에 맞는 제품만 알림을 받을 수 있도록 설정 기능을 추가해주시면 더욱 좋을 것 같아요.
